name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cubo
J1949+2411,19:49:52,24:11:10,60.9,-1,9.9,1.1,3119,3,255,6,272,9,42.5,9.6,a,297.466666666667,24.1861111111111,32,2616,44.895,282.054,1996.446,45.076,281.721,1996.422,38,49,277,288,1962,2024,2058,63,86,0.99944,0.01595348,0.2266086,0.0696725,0,3086.066,15.34653,0.339421,6,-0.01401128,66.29931,45.3309,979.6133,1959.024,0,5.694288,4.202592,-10.6963,3.900975,3.085916,4.84611,20.76639,0.04172781,0.3933911,0,14.85967,0.0050321,90.96868,58.24969,54.57682,57.41502,297.47287,24.191502,1404727550,SoFiA J194953.49+241129.4,28.1346224544778,5,1945+22
J1944+2753,19:44:24,27:53:34,63.5,1.9,1.1,0.2,5647,6,111,12,167,18,79.8,9.2,a,296.1,27.8927777777778,130,268,119.977,234.114,1445.795,119.97,234.061,1445.919,119,121,233,235,1443,1448,44,6,9,0.662056,3.036734E-05,0.1468199,0.05333817,0,6.647271,0.5300951,0.1122445,4,-0.1449827,5.370484,4.417849,721.0734,1442.145,0,1.736926,1.378566,-46.06055,1.608865,1.47034,-56.29484,0.5340742,0.01799035,0.09645633,0,0,0.0059148,13.6125,5.129976,4.573845,4.677438,296.0997,27.90111,1393694590,SoFiA J194423.93+275404.0,30.0099928729153,2,1945+26
J2000+2201,20:00:07,22:01:23,60.3,-4.2,2.4,0.4,4460,6,246,12,280,19,65,9.4,a,300.029166666667,22.0230555555556,78,2790,110.927,152.457,1691.997,110.79,152.241,1694.001,105,117,148,158,1665,1725,799,61,72,0.631561,0.03894246,0.1975241,0.002186509,0,574.5307,4.817582,0.09425837,4,-0.01914392,69.92842,54.88962,827.5988,1655.019,0,6.222324,3.53149,-43.60278,4.731298,2.585856,-35.29127,5.730622,0.02220491,0.08916499,0,149.4656,0.004683,43.29172,55.06917,47.54783,55.56699,300.02176,22.037352,1398666500,SoFiA J200005.22+220214.5,57.0948779205194,7,2000+22
J2003+2515,20:03:29,25:15:07,63.5,-3.1,1.6,0.4,3048,5,125,11,145,16,41,8.8,a,300.870833333333,25.2519444444444,318,689,65.377,75.322,2009.935,65.071,75.246,2009.934,62,69,72,79,1994,2021,743,28,47,0.609741,0.00798927,0.03368119,0.003317843,0,133.1542,5.1052,0.2228509,4,-0.03961789,29.26482,25.67311,996.5168,1993.04,0,3.530173,2.985,-3.225838,2.996624,2.795996,-39.15343,4.837952,0.02529817,0.1542693,0,89.03063,0.0046645,38.05047,26.45049,18.18604,26.10195,300.8648,25.251389,1404998270,SoFiA J200327.56+251505.0,19.7230751486846,2,2000+26
J1957+2633,19:57:37,26:33:21,63.9,-1.3,2.3,0.5,4405,6,202,12,226,17,63.9,9.3,a,299.404166666667,26.5558333333333,273,611,144.603,154.203,1697.009,144.453,154.09,1696.051,142,148,152,158,1686,1729,459,44,38,0.584381,0.04180842,0.0375896,0.005286746,0,216.3166,3.272261,0.2312414,4,-0.08894145,19.77436,13.01828,836.0188,1672.089,0,3.283972,2.322513,-41.29339,2.900857,2.205893,-35.62582,3.456701,0.02117534,0.1708191,0,212.5546,0.0048162,34.13834,15.5694,12.07618,14.8029,299.39526,26.5669,1398707580,SoFiA J195734.86+263400.8,49.0831249979267,2,2000+26
J2001+2659,20:01:27,26:59:49,64.7,-1.8,3.6,0.5,3140,3,214,6,229,10,43.9,9.2,a,300.3625,26.9969444444444,597,4182,92.734,179.843,1986.152,92.749,179.856,1986.093,90,96,177,183,1962,2011,994,50,40,0.557733,0.2482838,0.2119678,0.1490529,0,1067.585,8.710448,0.1697405,6,-0.1097973,58,55.35907,978.606,1957.014,0,3.58219,3.186597,72.21427,2.545807,2.47236,-74.26963,9.633923,0.02889315,0.2251416,0,103.9407,0.00484,63.13453,47.7715,45.21071,47.13311,300.3601,26.997156,1404520450,SoFiA J200126.42+265949.8,7.712438223037,4,2000+26
J2018+2319,20:18:43,23:19:54,63.7,-7.1,1.2,0.3,299,4,25,7,48,11,6.6,7.1,a,304.679166666667,23.3316666666667,72,5088,60.937,230.117,2620.354,60.92,230.041,2620.554,57,65,227,234,2614,2625,316,12,57,0.804107,0.09650452,0.02246026,0.002184935,0,95.87795,3.114087,0.5276245,3,-0.204936,8.463835,5.574137,1307.011,2614.205,0,3.615506,3.350016,-25.2427,3.351404,3.147342,-83.76208,3.197639,0.0275207,0.4039708,0,103.8406,0.0047494,37.87476,8.000498,4.970061,6.691415,304.6772,23.331585,1417236100,SoFiA J201842.53+231953.7,6.55704986178565,3,2015+22
J2017+2837,20:17:32,28:37:07,68,-3.9,6.3,0.9,4215,7,183,14,256,21,63,9.8,a,304.383333333333,28.6186111111111,32,8835,77.805,276.986,1742.248,78.256,276.96,1743.774,67,84,261,289,1712,1774,2048,63,145,0.998493,,,,,,,,,,,,,,,10.15359,6.625214,29.99746,5.138998,4.221328,43.32475,12.24476,0.02851162,0.1561326,0,206.4251,0.0048754,55.49773,52.65855,21.82264,53.71073,304.39066,28.615135,1399664130,SoFiA J201733.76+283654.5,26.3065181006551,5,2015+26
J2030+2017,20:30:50,20:17:42,62.8,-11.1,4,0.5,3687,3,232,6,246,10,52.7,9.4,a,307.708333333333,20.295,93,9089,101.923,47.103,1867.826,101.341,46.531,1866.494,98,109,39,60,1841,1892,1206,52,87,0.943867,0.698201,0.0158614,0.03708125,0,914.7456,9.066988,0.1885775,6,-0.06776933,60,57.54433,918.5079,1837.038,0,8.578863,3.009553,28.427,6.245689,2.769487,34.38669,9.061819,0.02494587,0.1404788,0,212.9357,0.0041849,62.35325,50.82576,48.27873,50.54205,307.6894,20.27518,1402123650,SoFiA J203045.45+201630.6,95.8200893143218,3,2030+22
J2030+2203,20:30:31,22:03:13,64.2,-10,1.2,0.3,4241,5,80,9,102,14,57.2,9,a,307.629166666667,22.0536111111111,89,8633,104.373,154.236,1746.503,104.96,153.253,1742.418,100,107,151,159,1735,1761,292,27,39,0.912661,2.694468E-07,0.0005781401,0.001791253,0,512.4437,2.009153,0.2337104,3,-0.1380947,12.2709,8.142635,865.5003,1731.138,0,3.508878,2.542128,49.57717,3.041673,2.200087,34.08831,1.633335,0.02582831,0.188559,0,144.6063,0.004441,21.52303,16.71732,6.831273,14.63211,307.6266,22.054163,1399636860,SoFiA J203030.38+220315.0,8.83388612070975,3,2030+22
