name;ra;dec;GAL_LONG;GAL_LAT;flux;fluxerr;velcenter;velerr;w50max;velerr;w20max;velerr;DLG;MHI;a
J1743+0724;17:43:01;07:24:39;31,8;18,6;1.7*;0,6;9100;5;56;10;70;15;131,6;9,8;a
J2105+3232;21:05:33;32:32:17;77,5;-9,7;1.7*;0,8;3069;9;94;17;112;26;40,2;8,8;a
J1855+1427;18:55:46;14:27:10;46,3;5,6;1.8;0,4;5931;6;197;12;218;18;87,1;9,5;a
J1906+2327;19:06:56;23:27:43;55,6;7,3;1.8;0,4;9146;6;278;13;317;19;128,7;9,9;a
J1951+2050;19:51:17;20:50:12;58,2;-3,0;1.8;0,4;8984;3;240;6;249;10;124,1;9,8;a
J2007+1243;20:07:13;12:43:02;53,2;-10,5;1.8;0,4;7347;4;218;7;225;11;104,5;9,7;a
J1826+0302;18:26:40;03:02:59;32,8;6,9;1.8*;0,6;2935;10;51;21;110;31;45,4;8,9;a
J1903+3741;19:03:06;37:41:32;68,4;14,1;1.8*;1,0;8138;9;159;19;174;28;116,0;9,8;a
J1817+1246;18:17:55;12:46:37;40,7;13,1;1.9;0,4;2890;4;95;8;117;12;41,7;8,9;a
J1821+1305;18:21:46;13:05:15;41,4;12,4;1.9;0,4;6764;3;72;6;85;8;94,3;9,6;a
J1830+0928;18:30:50;09:28:27;39,1;8,8;1.9;0,4;5837;7;272;14;303;21;79,8;9,4;a
J1846+1542;18:46:34;15:42:06;46,5;8,1;1.9;0,4;2916;5;178;9;191;14;40,9;8,9;a
J1849+1950;18:49:12;19:50:28;50,5;9,4;1.9;0,3;4914;2;90;5;105;7;69,2;9,3;a
J1925+2045;19:25:03;20:45:36;55,1;2,3;1.9;0,4;8976;5;295;11;315;16;131,0;9,9;a
J1937+1443;19:37:12;14:43:24;51,2;-3,1;1.9;0,3;4486;3;66;6;87;9;60,5;9,2;a
J1742+0311;17:42:05;03:11:49;27,8;16,9;1.9*;1,0;8539;14;145;28;178;42;121,2;9,8;a
J2004+0724;20:04:22;07:24:45;48,2;-12,6;10.2*;2,0;5934;6;117;13;154;19;81,1;10,2;a
J1958+0236;19:58:39;02:36:05;43,1;-13,7;10.8*;2,3;7562;5;157;10;174;15;106,6;10,5;a
J1854+2439;18:54:21;24:39:28;55,4;10,4;11.1;1,3;4317;3;313;7;333;10;63,9;10,0;a
J1819+0110;18:19:25;01:10:01;30,3;7,7;11.3*;1,8;2575;5;117;10;149;15;36,1;9,5;a
J1915+2009;19:15:01;20:09:35;53,5;4,1;11.4;1,2;4713;4;522;8;545;12;67,6;10,1;a
J1823+0016;18:23:26;00:16:00;30,0;6,4;11.7*;2,5;2899;4;137;8;150;12;37,2;9,6;a
J1914+1017;19:14:57;10:17:36;44,8;-0,5;11.8;1,5;655;3;80;5;102;8;12,0;8,6;a
J1955+0553;19:55:07;05:53:25;45,6;-11,3;12.5*;3,1;3308;9;182;18;216;26;48,6;9,8;a
J1918+3450;19:18:22;34:50:18;67,1;10,1;12.6*;2,1;4453;9;246;19;311;28;66,6;10,1;a
J1949+0709;19:49:19;07:09:36;46,1;-9,4;12.7*;3,6;3148;8;270;16;289;24;41,2;9,7;a
J2016+3428;20:16:17;34:28:22;72,7;-0,4;12.7*;1,8;4099;5;205;10;231;16;56,9;10,0;a
J1733+0528;17:33:56;05:28:12;28,9;19,7;12.8*;2,4;2832;4;176;8;190;11;38,8;9,7;a
J1907+2900\footnotemark[2];19:07:05;29:00:28;60,7;9,7;13.0*;2,9;3908;10;406;19;439;29;59,3;10,0;a
J2121+2927;21:21:21;29:27:40;77,4;-14,3;13.2*;1,7;4612;11;43;21;297;32;65,2;10,1;a
J2029+3120;20:29:50;31:20:05;71,8;-4,6;13.3*;2,9;1041;5;135;10;149;14;14,5;8,8;a
J1853+0951;18:53:47;09:51:21;42,0;4,0;14.9;1,6;4731;5;324;9;355;14;70,3;10,2;a
J2032+3256;20:32:11;32:56:09;73,4;-4,0;15.1*;3,6;4151;10;313;21;349;31;61,8;10,1;a
J1839+1317;18:39:30;13:17:09;43,5;8,6;15.6;1,3;3879;4;185;8;235;12;56,8;10,1;a
J1929+0804;19:29:15;08:04:01;44,5;-4,6;15.7;1,8;3093;9;268;17;369;26;44,0;9,9;a
J1910+0031;19:10:26;00:31:56;35,6;-4,0;16.1*;3,1;1489;5;181;10;203;15;23,7;9,3;a
J2017+3150;20:17:02;31:50:01;70,6;-2,0;16.2*;3,3;1234;7;273;14;296;21;15,7;9,0;a
J2024+1226;20:24:33;12:26:45;55,2;-14,2;17.2;1,7;4500;7;426;14;502;21;64,5;10,2;a
J2057+2557;20:57:15;25:57:54;71,1;-12,6;18.3;1,4;1521;2;260;4;275;6;25,6;9,5;a
J1844+2408;18:44:14;24:08:13;54,0;12,2;19.2;1,5;3837;4;369;9;423;13;52,6;10,1;a
J1734+0650;17:34:23;06:50:51;30,3;20,2;2.0*;0,9;6427;7;170;15;183;22;91,1;9,6;a
J1917+3326;19:17:14;33:26:17;65,7;9,7;2.0*;0,6;4451;11;140;23;176;34;62,4;9,3;a
J1840+2836;18:40:31;28:36:12;57,8;14,8;2.1;0,3;3081;5;165;9;197;14;41,5;8,9;a
J1846+2302;18:46:33;23:02:49;53,2;11,3;2.1;0,4;4243;5;195;10;216;15;60,9;9,3;a
J1917+2030;19:17:33;20:30:19;54,1;3,7;2.1;0,5;2356;6;97;13;140;19;36,0;8,8;a
