name_1,ra_1,dec_1,GAL_LONG_1,GAL_LAT_1,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,kernel,edge,xscale,yscale,zscale,threshold_2,rms_mode,flux_range,edge_mode,kernel_units,xradius,xmin_size,xmax_size,yradius,ymin_size,ymax_size,zradius,zmin_size,zmax_size,threshold_2a,kernel_scale,cut,fit busy function,cube,run,Separation
J1917+2354,19:17:60,23:54:48,57.2,5.2,1.7,0.4,8110,6,156,11,186,17,117,9.8,a,289.5,23.9133333333333,218,401,71.087,265.222,895.468,70.991,265.232,895.238,69,74,263,267,892,900,126,9,24,0.61121,0.1056626,0.3092717,1.869348,0,17.44116,1.065364,0.1668035,6,-0.5850897,7.893412,7.056115,445.6546,891.1401,0,2.900988,2.068608,-61.56317,2.569663,1.929241,-64.20743,1.032826,0.026548,0.126642,0,249.1,0.0044234,20.88399,7.506476,6.5831,7.190636,289.4977,23.919285,1382658050,SoFiA J191759.45+235509.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,22.723649789742
J1915+2009,19:15:01,20:09:35,53.5,4.1,11.4,1.2,4713,4,522,8,545,12,67.6,10.1,a,288.754166666667,20.1597222222222,336,556,111.547,40.072,1625.592,111.498,40.009,1625.7,109,114,38,43,1618,1634,265,17,26,0.663861,2.69E-06,0.006063999,0.003903449,0,49.42047,2.315951,0.2108641,4,-0.09654663,15.93684,11.05257,808.003,1616.097,0,2.764236,2.450472,-1.670246,2.510942,2.204156,-23.66031,2.359385,0.02053561,0.1751233,0,170.758,0.0045696,31.71763,14.6296,11.78794,13.06507,288.7589,20.16655,1397297660,SoFiA J191502.14+200959.6,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,29.3264203216456
J1917+2030,19:17:33,20:30:19,54.1,3.7,2.1,0.5,2356,6,97,13,140,19,36,8.8,a,289.3875,20.5052777777778,511,787,76.058,59.981,2159.604,76.154,60.191,2159.59,74,78,57,63,2155,2164,154,10,23,0.55936,0.1247056,0.08344197,0.01218843,0,9.361637,1.695572,0.2541393,4,-0.1657683,9.162735,6.679856,1077.042,2154.166,0,3.082203,2.088236,0.3251119,2.62087,1.92879,3.932003,1.676046,0.02153881,0.1805302,0,338.4093,0.0047299,28.55434,8.968444,6.629282,8.161523,289.38785,20.5018,1407997700,SoFiA J191733.08+203006.5,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,12.5755009493566
J1911+2112,19:11:28,21:12:22,54.1,5.3,3.3,0.5,5024,4,397,8,410,12,70.3,9.6,a,287.866666666667,21.2061111111111,321,535,162.04,102.592,1548.84,161.776,102.869,1548.367,159,165,99,106,1541,1555,480,15,48,0.698909,0.3999731,0.3405369,1.168492,0,51.48733,2.899613,0.2475793,6,-0.3928944,16,13.58145,770.1703,1540.122,0,3.820142,2.521792,-4.257649,3.388434,2.675401,-12.25203,2.775956,0.01998365,0.1946471,0,348.2385,0.0044676,28.36102,14.53289,12.57989,13.78594,287.86008,21.212063,1395747840,SoFiA J191126.42+211243.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,30.7860138545914
J1910+1933,19:10:19,19:33:03,52.5,4.8,5.7,0.6,3901,6,454,11,490,17,56,9.6,a,287.579166666667,19.5508333333333,372,601,177.31,3.833,1826.769,177.603,3.611,1825.624,168,184,0,10,1769,1874,4466,106,127,0.504634,0.4801495,0.1669261,0.05911812,0,1307.468,25.23498,0.3539155,6,-0.04805928,110.8177,64.18698,881.5835,1763.02,0,7.147571,3.997708,59.21417,4.925139,3.298972,59.9425,27.77806,0.03189907,0,1,224.1243,0.0047239,87.99232,101.8039,74.61128,0,287.5896,19.555384,1401304450,SoFiA J191021.51+193319.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,39.0014959070692
J1909+2649,19:09:28,26:49:12,58.9,8.2,8.1,1,4731,3,274,7,292,10,66.5,9.9,a,287.366666666667,26.82,27,120855,185.367,169.467,1641.721,185.428,169.402,1641.318,172,197,156,181,1597,1723,13387,127,404,0.751974,0.0007421351,0.08184631,0.0002999114,0,2231.383,41.19627,0.8601648,4,-0.025304,68.47212,45.30757,783.0409,1566.025,0,12.30344,8.492206,-38.6315,9.052474,7.20606,-36.49078,49.11648,0.03365179,0.4041771,0,274.1327,0.0047355,89.83165,73.1106,60.57273,74.73755,287.37857,26.816856,1397610750,SoFiA J190930.86+264900.7,Gaussian,Constant,1,1,1,2.5,GFFH,All,Constant,Pixels,1,1,-1,1,1,-1,1,1,-1,0.50,0.50,10,1,1915+26,9,39.8826200637961
J1911+2421,19:11:37,24:21:08,56.9,6.7,8.9,1.1,642,2,116,4,126,7,10.5,8.4,a,287.904166666667,24.3522222222222,34,195021,158.961,20.686,2542.948,158.569,21.077,2543.355,153,166,14,28,2527,2561,2767,35,143,0.999935,0.02029073,0.332517,0.2142788,0,2084.856,22.55508,1.192225,6,-0.02257428,27.18967,18.16973,1261.166,2522.063,0,6.212136,5.307449,61.48623,4.921411,4.203682,56.17303,25.69732,0.05212157,1.205826,0,68.42949,0.0046401,105.2826,29.14796,26.08355,25.5821,287.89804,24.348272,1415688960,SoFiA J191135.53+242053.8,Gaussian,Constant,1,1,1,2.5,GFFH,All,Constant,Pixels,1,1,-1,1,1,-1,1,1,-1,0.50,0.50,10,1,1915+26,9,24.6170206295593
J1929+2223,19:29:09,22:23:55,57,2.2,0.6,0.2,11507,7,16,15,99,22,163.1,9.6,a,292.2875,22.3986111111111,88,321,123.443,174.176,187.124,123.478,174.282,187.107,120,127,171,177,180,195,307,16,38,0.652597,0.5299615,0.05400158,0.008614023,0,58.43622,2.63479,0.2978423,4,-0.1803597,15.2291,6.69365,89.027,178.1804,0,3.3566,2.408536,79.61038,3.145669,2.426498,68.07728,2.403148,0.01973043,0.2287166,0,228.1653,0.0046837,29.28342,12.94052,3.781769,10.91025,292.2931,22.40458,1368466050,SoFiA J192910.34+222416.5,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,3,3,-1,3,3,-1,3,3,-1,0.40,0.50,10,1,1930+22,3,28.4452601388971
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137,15,164,23,143.3,9.5,a,291.129166666667,20.5625,300,959,189.172,64.719,474.266,189.413,64.615,474.208,188,191,64,66,465,484,64,20,12,0.405407,0.04830971,0.01388739,0.004995193,0,27.43994,0.4231579,0.03359487,3,-0.1122165,20.01451,10.98705,231.5069,463.1122,0,2.716003,1.233767,-74.14312,2.141776,1.200659,-74.43004,0.4232304,0.01638411,0.03814399,0,0,0.0045496,11.62834,14.33485,8.211493,10.38396,291.1218,20.571007,1374219900,SoFiA J192429.23+203415.6,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,3,3,-1,3,3,-1,3,3,-1,0.40,0.50,10,1,1930+22,3,39.4260995261398
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102,10,115,15,116,9.4,a,290.625,19.945,541,1707,218.064,27.44,937.272,218.03,27.295,937.146,216,223,26,29,927,947,125,21,20,0.665953,0.1288675,0.02358053,0.008950399,0,43.1454,0.9882562,0.09867238,4,-0.1507804,18.91007,7.89294,462.5118,925.1508,0,3.51006,1.749932,-82.44275,2.536222,1.525558,-80.0694,0.9830097,0.0180764,0.05921134,0,255.6773,0.0049681,17.69743,20.26691,6.81878,17.08992,290.61975,19.943699,1383497860,SoFiA J192228.74+195637.3,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,3,3,-1,3,3,-1,3,3,-1,0.40,0.50,10,1,1930+22,3,18.3734383056142
