tabla,velcenter
SoFiA,-1027.71135868811
SoFiA,-1104.59882161758
SoFiA,-1132.23516737505
SoFiA,-1311.13481141766
SoFiA,-1425.51939659601
SoFiA,11580.1419620085
SoFiA,11578.1706509548
SoFiA,11601.8643746048
SoFiA,11693.9883412782
SoFiA,11636.3095527598
SoFiA,11644.8997411845
SoFiA,11656.8415805228
SoFiA,11688.0448595573
SoFiA,11721.922283244
SoFiA,11639.1187765419
SoFiA,11693.1778664981
SoFiA,11692.3399537697
SoFiA,11665.917209571
SoFiA,11660.1088069801
SoFiA,11611.9953093562
SoFiA,11650.9783020354
SoFiA,11677.5086874158
SoFiA,11614.0468236434
SoFiA,11668.3486339113
SoFiA,11613.4537418382
SoFiA,11633.7958145746
SoFiA,11568.9578321651
SoFiA,11605.0513978287
SoFiA,11600.0260320696
SoFiA,11558.854335362
SoFiA,11573.0925199106
SoFiA,11581.7629115687
SoFiA,11528.0562937175
SoFiA,11558.7192562319
SoFiA,11540.0508983409
SoFiA,11545.1564673334
SoFiA,11520.3019074098
SoFiA,11413.4015502791
SoFiA,11526.4902200538
SoFiA,11491.3949735856
SoFiA,11508.4698198646
SoFiA,11508.6323369429
SoFiA,11469.2968721589
SoFiA,11440.9302548548
SoFiA,11488.4232327251
SoFiA,11470.2149881208
SoFiA,11452.3043397247
SoFiA,11480.8060361589
SoFiA,11422.1268178338
SoFiA,11451.5213028929
SoFiA,11415.5353784111
SoFiA,11375.8495521336
SoFiA,11400.1089196406
SoFiA,11370.9592655046
SoFiA,11407.3504273765
SoFiA,11358.5045475945
SoFiA,11404.2963726712
SoFiA,11328.4093395484
SoFiA,11310.8764905941
SoFiA,11281.6445226133
SoFiA,11314.3885479746
SoFiA,11331.1109221488
SoFiA,11313.5506352463
SoFiA,11291.7480194165
SoFiA,11310.4163773075
SoFiA,11256.9250418197
SoFiA,11243.5247699995
SoFiA,11243.6070838444
SoFiA,11249.0376869934
SoFiA,11249.5231276169
SoFiA,11249.0904522786
SoFiA,11245.2005954563
SoFiA,11237.0156444217
SoFiA,11215.1053874102
SoFiA,11021.2393978837
SoFiA,11162.1818063908
SoFiA,11065.1126771918
SoFiA,10982.336608438
SoFiA,11067.8142597922
SoFiA,10974.4745809486
SoFiA,11065.4102734001
SoFiA,11054.9817424403
SoFiA,11074.4880130597
SoFiA,11074.0278997731
SoFiA,11071.1110348093
SoFiA,11066.6534235186
SoFiA,11070.1380429508
SoFiA,11065.6529937119
SoFiA,11070.9759556792
SoFiA,10965.6944374974
SoFiA,10974.0419056103
SoFiA,11058.9813510558
SoFiA,10966.9924635124
SoFiA,10970.1794867363
SoFiA,10868.4923397797
SoFiA,10760.3741598675
SoFiA,10746.0283341371
SoFiA,10968.6387404095
SoFiA,10520.5812661343
SoFiA,10596.7405681285
SoFiA,10596.8756472585
SoFiA,10595.8203415552
SoFiA,10510.5052072794
SoFiA,10595.5248559583
SoFiA,10601.088427626
SoFiA,10598.6316759488
SoFiA,10598.9018342088
SoFiA,10597.4687290638
SoFiA,10596.3606580753
SoFiA,10396.4182183093
SoFiA,10366.0507413918
SoFiA,10261.3644156265
SoFiA,10175.6166060124
SoFiA,10248.1540988329
SoFiA,9986.69577901142
SoFiA,9953.89898836494
SoFiA,9863.61125361522
SoFiA,9837.81113978147
SoFiA,9772.83807824201
SoFiA,9660.96512063745
SoFiA,9663.36910702953
SoFiA,9615.6861741326
SoFiA,9553.11920959659
SoFiA,9585.69860726823
SoFiA,9596.50493766981
SoFiA,9556.11627779392
SoFiA,9536.01692536928
SoFiA,9452.21509947192
SoFiA,9545.96001570556
SoFiA,9536.88227604595
SoFiA,9541.74512472669
SoFiA,9524.23760310928
SoFiA,9288.63427301811
SoFiA,9176.3286400752
SoFiA,8991.0549495848
SoFiA,8870.45461381415
SoFiA,8856.893935527
SoFiA,8785.46451369489
SoFiA,8678.42696682274
SoFiA,8706.06331258021
SoFiA,8682.45190277507
SoFiA,8644.57698108438
SoFiA,8659.73117098348
SoFiA,8605.53911250871
SoFiA,8591.62596211668
SoFiA,8583.79137257554
SoFiA,8465.56969586005
SoFiA,8453.92545273009
SoFiA,8443.79451797859
SoFiA,8427.17978498617
SoFiA,8412.59123894406
SoFiA,8406.6203192749
SoFiA,8330.24784552865
SoFiA,8385.9532123819
SoFiA,8384.90001729002
SoFiA,8386.00808827848
SoFiA,8368.07000193413
SoFiA,8294.61228254033
SoFiA,8349.64436435491
SoFiA,8342.78276667219
SoFiA,8300.20540276769
SoFiA,8301.79891437965
SoFiA,8263.35623822063
SoFiA,8241.6612635726
SoFiA,8287.02252392236
SoFiA,8273.53993825727
SoFiA,8239.68995251891
SoFiA,8231.66540795118
SoFiA,8211.45841434479
SoFiA,8230.93724701589
SoFiA,8200.8420389698
SoFiA,7909.96179614091
SoFiA,8117.49821574767
SoFiA,7615.40908946459
SoFiA,7377.47986560343
SoFiA,7351.48979674306
SoFiA,7172.75478039019
SoFiA,7082.76464184881
SoFiA,6729.04516561249
SoFiA,6521.61849779886
SoFiA,6444.65083163593
SoFiA,6406.93631641216
SoFiA,5839.68417356304
SoFiA,5823.85458801386
SoFiA,5792.83915339452
SoFiA,5797.02660642511
SoFiA,5729.67699644189
SoFiA,5561.12568012563
SoFiA,5516.16965716597
SoFiA,5248.60533854532
SoFiA,5147.70122842061
SoFiA,4849.52882318206
SoFiA,4780.25855681886
SoFiA,4887.48605871759
SoFiA,4764.58937773657
SoFiA,4756.88986732547
SoFiA,4732.9555339751
SoFiA,4692.07932286431
SoFiA,4561.45780413532
SoFiA,4507.07579063396
SoFiA,4475.5749153911
SoFiA,4489.24534547137
SoFiA,4496.02673992062
SoFiA,4427.24402479235
SoFiA,4381.3973238191
SoFiA,4277.19854928879
SoFiA,4274.19937048006
SoFiA,4176.42951829413
SoFiA,4121.12727821949
SoFiA,4085.57402907605
SoFiA,3972.62043843132
SoFiA,3879.2005563543
SoFiA,3734.99092138987
SoFiA,3637.08387946249
SoFiA,3201.58876427911
SoFiA,3025.69040965663
SoFiA,3186.21718140517
SoFiA,3114.81519752134
SoFiA,2973.98043019597
SoFiA,3009.18331784597
SoFiA,2960.0145145188
SoFiA,2951.34201224925
SoFiA,2922.92051904854
SoFiA,2928.08096393759
SoFiA,2835.14652248406
SoFiA,2798.9178776905
SoFiA,2742.53711518713
SoFiA,2754.82931601895
SoFiA,2752.53297080859
SoFiA,2735.86336191963
SoFiA,2697.33837191571
SoFiA,2668.70159635157
SoFiA,2682.69706058843
SoFiA,2561.82867716913
SoFiA,2602.78298090198
SoFiA,2600.86654574483
SoFiA,2575.71438961287
SoFiA,2593.59760006064
SoFiA,2564.50282182122
SoFiA,2512.87515620543
SoFiA,2525.27499821897
SoFiA,2532.13659590169
SoFiA,2516.14449327421
SoFiA,2465.02970623021
SoFiA,2515.6316147024
SoFiA,2469.2171592608
SoFiA,2345.94478944945
SoFiA,2451.38671409823
SoFiA,2427.26242572127
SoFiA,2412.32140757424
SoFiA,2299.99044729445
SoFiA,2330.51833067889
SoFiA,2294.5324061971
SoFiA,2285.4821044858
SoFiA,2242.33909672435
SoFiA,2247.17450745676
SoFiA,2189.52315688667
SoFiA,2149.34977937425
SoFiA,2146.10788025379
SoFiA,2132.54720196665
SoFiA,2168.26085757702
SoFiA,2162.53476883102
SoFiA,2126.65648553095
SoFiA,2111.55506091705
SoFiA,2070.70628775452
SoFiA,1960.18623206156
SoFiA,1997.57571312873
SoFiA,1825.13242937878
SoFiA,1958.24024834472
SoFiA,1809.8431603497
SoFiA,1791.20224040698
SoFiA,1728.39044494784
SoFiA,1728.55085141473
SoFiA,1620.94766068564
SoFiA,1623.78432241606
SoFiA,1469.28123562184
SoFiA,1443.10332234631
SoFiA,993.585304977786
SoFiA,1183.21107618848
SoFiA,949.441867409622
SoFiA,935.043276394101
SoFiA,915.754398749555
SoFiA,915.266847514659
