name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cube,kernel,scaleX,scaleY,scaleZ,sf_threshold,rms_mode,flux_range,xradius,xmin,xmax,yradius,ymin,ymax,zradius,zmin,zmax,rel_threshold,elipse,busy_function,bf+e
J1840+2441,18:40:18,24:41:04,54.1,13.3,2.9,0.6,4561,2,253,5,258,7,63.1,9.4,a,280.075,24.6844444444444,247,621,176.077,41.435,1670.452,175.983,41.366,1670.313,173,178,39,43,1648,1701,352,54,21,0.614338,0.0001344417,0.09687109,0.003999837,0,668.277,2.841857,0.2017976,4,-0.08529151,20.1629,13.33592,819.5484,1639.085,0,3.03382,2.130184,85.6278,2.210355,1.767285,86.17941,4.43099,0.03041332,0.131635,0,250.4309,0.0059152,39.92619,52.01424,46.04518,51.6691,280.0763,24.684305,1398191740,SoFiA J184018.31+244103.5,4.26213118433963,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1845+2754,18:45:28,27:54:53,57.6,13.5,2.9,0.5,4681,4,186,8,205,12,69,9.5,a,281.366666666667,27.9147222222222,243,614,105.659,234.555,1645.571,105.787,234.746,1646.033,103,109,231,237,1630,1668,557,39,37,0.360985,0.004227027,0.1540512,0.3107711,0,517.3211,4.620337,0.1502225,6,-0.1122296,39.01205,34.58919,811.577,1623.029,0,3.515622,2.582465,-28.52712,2.558308,2.075509,-33.91106,5.636157,0.02759119,0,0,162.5166,0.0050012,47.79345,36.58856,32.95607,0,281.3672,27.912558,1397705220,SoFiA J184528.12+275445.2,7.96682416759158,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1838+2522,18:38:32,25:22:22,54.6,13.9,42.3,2.3,3424,2,440,3,452,5,48.1,10.4,a,279.633333333333,25.3727777777778,277,689,199.739,82.686,1925.617,199.682,82.868,1924.847,192,207,74,90,1872,1974,7283,103,187,0.736525,0.05474236,0.10641,0.03530264,0,14122.88,94.27191,1.047056,6,-0.080744,113.0322,102.1794,932.0532,1864.01,0,8.415981,6.329287,-38.0496,5.502197,4.533878,-35.84568,103.4548,0.07393718,1.683615,0,330.4118,0.0045898,264.1177,99.18054,94.58965,95.33922,279.63242,25.3719,1403293060,SoFiA J183831.78+252218.8,4.34519763786382,4,1845+26,Boxcar,3.0,3.0,3.0,4.5,GFFH,All,3,3,-1,3,3,-1,3,3,-1,0.20,0,1,1
J1846+2716,18:46:19,27:16:29,57.1,13.1,0.9,0.3,3413,7,76,14,114,20,50.7,8.8,a,281.579166666667,27.2747222222222,133,448,94.966,196.5,1927.672,94.842,196.514,1927.465,94,96,195,198,1920,1932,58,13,11,0.472874,0.02328796,0.01298961,0.01382947,0,17.89809,0.5768769,0.09109976,4,-0.1990938,8.934469,5.841334,960.0065,1920.199,0,1.878971,1.392746,-35.27464,1.874094,1.408849,-32.76969,0.5782708,0.01927894,0.07459853,0,342.9809,0.0051794,14.66014,7.876098,5.444549,7.207955,281.57175,27.274904,1403345540,SoFiA J184617.22+271629.7,23.75065844292,23,1845+26,Boxcar,3.0,3.0,3.0,5.0,GFNF,All,3,3,-1,3,3,-1,3,3,-1,0.42,0,1,1
J1851+2629,18:51:55,26:29:02,56.9,11.6,4,0.6,3731,7,394,14,433,21,54.1,9.4,a,282.979166666667,26.4838888888889,129,610,18.965,150.035,1830.938,18.926,150.081,1830.624,17,20,148,152,1816,1855,226,40,13,0.62026,0.2112599,0.04567067,0.05719351,0,101.174,2.39601,0.07105313,2,-0.07527145,46,35.31145,903.5228,1807.019,0,2.445386,1.195133,24.24365,2.047331,1.198296,29.97782,1.990204,0.0198699,0.04306415,0,202.7346,0.0052932,25.06599,36.28523,21.27647,36.43574,282.98346,26.490911,1401404670,SoFiA J185156.03+262927.3,28.8178471171335,28,1845+26,Boxcar,3.0,3.0,3.0,4.5,MAD,All,3,3,-1,3,3,-1,3,3,-1,0.55,0,1,1
J1851+2633,18:51:42,26:33:28,56.9,11.7,2.7,0.4,4544,4,288,8,306,12,66,9.4,a,282.925,26.5577777777778,120,568,22.667,153.167,1656.833,22.662,153.142,1656.032,22,24,152,154,1649,1666,60,18,6,0.522796,0.0002525513,0.07885642,0.01961248,0,27.33338,0.4704188,0.04380758,4,-0.1032296,15.69953,10.4517,823.0394,1646.103,0,1.5528,0.9005742,18.83281,1.383702,0.9611451,19.81435,0.5023171,0.01829266,0.03707684,0,0,0.0057923,11.19575,13.24697,7.559668,12.91911,282.91464,26.542742,1397905660,SoFiA J185139.51+263233.9,63.5813928009944,28,1845+26,Boxcar,3.0,3.0,3.0,4.5,MAD,All,3,3,-1,3,3,-1,3,3,-1,0.55,0,1,1
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149,13,175,19,57.4,8.9,a,286.975,20.7588888888889,32,292,1.688,76.167,98.375,1.625,76.482,98.491,1,3,74,79,94,101,48,8,16,0.422503,0.005770159,0.01864989,0.02967048,0,9.440775,0.2890077,0.05587745,4,-0.2078514,6.736757,5.298331,47.00932,94.20785,0,2.86626,1.294287,-7.256049,2.91994,1.314003,-4.122345,0.2844831,0.01645471,0.04114006,0,332.4641,0.003514,11.68505,6.079949,3.173831,5.650626,286.96774,20.762835,1366689920,SoFiA J190752.26+204546.2,28.2585502412916,4,1900+22,Gaussian,3.0,3.0,3.0,3.5,GFFH,All,1,1,20,1,1,20,1,1,20,0.30,0,1,1
J1903+2213,19:03:29,22:13:32,54.1,7.4,1.4,0.4,7771,8,147,16,184,24,109.8,9.6,a,285.870833333333,22.2255555555556,106,660,63.729,164.035,983.694,63.776,164.08,983.704,62,65,162,166,981,988,85,8,17,0.390894,0.0002616969,0.5648923,0.05018108,0,0.9951942,0.717799,0.1369477,4,-0.198089,6.993142,5.411652,489.7824,979.1981,0,2.462321,1.608655,3.222763,2.260278,1.805603,-5.08925,0.6900088,0.01915461,0.09500173,0,223.3858,0.0046619,16.1491,6.621338,5.293011,6.315587,285.86832,22.232397,1384430980,SoFiA J190328.40+221356.6,26.0182335985553,4,1900+22,Gaussian,3.0,3.0,3.0,3.5,GFFH,All,1,1,20,1,1,20,1,1,20,0.30,0,1,1
J1901+1944,19:01:39,19:44:47,51.7,6.7,4.3,0.5,3971,4,259,8,282,11,60.6,9.6,a,285.4125,19.7463888888889,38,545,89.48,14.125,1784.814,89.579,14.427,1784.704,85,94,10,18,1776,1795,943,20,77,0.458634,0.1445036,0.2027641,0.003589703,0,125.5493,7.677437,0.5788007,4,-0.08302134,19.68155,13.10562,886.6014,1773.083,0,4.746165,3.575862,85.56735,3.914675,3.606495,85.38655,7.606735,0.02971555,0.4937988,0,64.02244,0.0051691,47.92095,17.90347,13.39738,15.62943,285.397,19.739447,1400484350,SoFiA J190135.28+194422.0,58.1534238886082,6,1900+22,Gaussian,3.0,3.0,3.0,4.5,GFFH,All,1,1,20,1,1,20,1,1,20,0.41,0,1,1
J1900+2240,19:00:06,22:40:31,54.2,8.3,3.1,0.4,4049,3,196,5,207,8,59.2,9.4,a,285.025,22.6752777777778,54,10211,111.882,190.439,1781.73,111.517,190.521,1783.176,106,122,185,197,1761,1816,1931,56,102,0.62354,1.689641E-05,0.02017153,0.1135879,0,1022.145,11.26801,0.3862245,6,-0.05509997,41.96001,27.91002,874.0101,1748.04,0,6.266683,3.355261,-86.27262,4.520487,3.161578,-83.67802,12.78666,0.0269636,0.6785205,0,98.65953,0.0046197,63.01926,43.85222,35.0309,33.50894,285.00873,22.67537,1400453760,SoFiA J190002.09+224031.3,54.0521868730094,14,1900+22,Boxcar,3.0,3.0,3.0,3.0,GFFH,Negative,3,3,-1,3,3,-1,3,3,-1,0.50,0,0,0
