name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J2037+2649,20:37:14,26:49:25,69.0,-8.5,0.9,0.2,1537,5,77.0,10,101.0,16,22.2,8.0,a,309.30833333333334,26.823611111111116
J2056+2559,20:56:28,25:59:57,71.1,-12.4,0.9,0.3,6865,4,133.0,8,140.0,12,102.0,9.4,a,314.1166666666667,25.999166666666667
J1752+0345,17:52:59,03:45:14,29.6,14.7,1.0*,0.7,1130,18,81.0,37,166.0,55,18.4,7.9,a,268.24583333333334,3.753888888888889
J1928+3517,19:28:59,35:17:58,68.5,8.3,1.0*,0.6,4551,18,14.0,35,129.0,53,66.2,9.0,a,292.2458333333333,35.29944444444445
J1820+1255,18:20:57,12:55:46,41.2,12.5,1.1,0.2,6758,3,35.0,7,61.0,10,95.1,9.4,a,275.23749999999995,12.929444444444444
J1901+2647,19:01:40,26:47:45,58.1,9.8,1.1,0.3,4166,4,158.0,7,163.0,11,55.5,8.9,a,285.4166666666667,26.795833333333334
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149.0,13,175.0,19,57.4,8.9,a,286.975,20.75888888888889
J1910+2349,19:10:18,23:49:11,56.3,6.7,1.1,0.4,7324,10,194.0,20,233.0,31,103.6,9.4,a,287.575,23.81972222222222
J1938+1433,19:38:49,14:33:54,51.3,-3.6,1.1,0.2,4479,6,81.0,12,123.0,18,60.6,9.0,a,294.70416666666665,14.565000000000001
J1944+2753,19:44:24,27:53:34,63.5,1.9,1.1,0.2,5647,6,111.0,12,167.0,18,79.8,9.2,a,296.1,27.892777777777777
J1951+1533,19:51:04,15:33:40,53.6,-5.6,1.1,0.3,4459,6,56.0,12,100.0,18,62.9,9.0,a,297.7666666666667,15.561111111111112
J1959+1531,19:59:12,15:31:00,54.6,-7.3,1.1,0.3,10153,6,113.0,12,141.0,19,143.1,9.7,a,299.8,15.516666666666667
J1959+1550,19:59:13,15:50:55,54.9,-7.2,1.1,0.3,9920,6,215.0,12,239.0,18,139.0,9.7,a,299.8041666666667,15.848611111111111
J2017+2217,20:17:53,22:17:34,62.7,-7.5,1.1,0.3,9972,4,152.0,8,164.0,12,142.3,9.7,a,304.47083333333336,22.29277777777778
J2022+1235,20:22:14,12:35:56,55.0,-13.6,1.1,0.3,4370,5,119.0,10,135.0,15,60.4,9.0,a,305.5583333333333,12.598888888888888
J2028+2548,20:28:35,25:48:25,67.1,-7.5,1.1,0.3,4352,8,66.0,16,116.0,23,61.0,9.0,a,307.1458333333333,25.806944444444444
J2056+2557,20:56:45,25:57:22,71.1,-12.5,1.1,0.3,4744,4,107.0,9,122.0,13,71.7,9.1,a,314.1875,25.956111111111113
J2100+2122,21:00:48,21:22:05,68.0,-16.1,1.1,0.3,3394,9,238.0,18,277.0,27,52.1,8.9,a,315.2,21.368055555555557
J1917+3451,19:17:46,34:51:32,67.0,10.2,1.1*,0.6,4360,10,109.0,19,131.0,29,65.0,9.0,a,289.44166666666666,34.85888888888889
J1926+3345,19:26:11,33:45:36,66.8,8.1,1.1*,0.7,4553,14,49.0,28,87.0,42,65.9,9.1,a,291.54583333333335,33.76
J1813+1536,18:13:00,15:36:47,42.9,15.4,1.2,0.3,2869,5,67.0,10,98.0,15,44.7,8.8,a,273.24999999999994,15.613055555555558
J1817+0959,18:17:17,09:59:46,38.1,12.1,1.2,0.3,2171,5,93.0,10,112.0,15,32.5,8.5,a,274.3208333333333,9.99611111111111
J1848+2309,18:48:33,23:09:35,53.5,10.9,1.2,0.3,4287,3,158.0,5,166.0,8,61.3,9.0,a,282.1375,23.15972222222222
J1907+1401,19:07:33,14:01:11,47.2,2.9,1.2,0.3,7295,4,92.0,9,108.0,13,104.7,9.5,a,286.8875,14.019722222222223
J1927+1700,19:27:16,17:00:20,52.1,0.0,1.2,0.4,7926,7,87.0,13,108.0,20,117.4,9.6,a,291.81666666666666,17.005555555555556
J1927+0927,19:27:49,09:27:46,45.5,-3.7,1.2,0.3,7927,6,77.0,11,105.0,17,109.5,9.5,a,291.9541666666667,9.462777777777777
J1931+0843,19:31:20,08:43:45,45.3,-4.8,1.2,0.4,5124,6,99.0,12,117.0,18,73.4,9.2,a,292.8333333333333,8.729166666666666
J2001+2736,20:01:59,27:36:51,65.3,-1.6,1.2,0.3,3205,5,77.0,10,98.0,14,45.7,8.8,a,300.49583333333334,27.614166666666666
J2015+1318,20:15:46,13:18:06,54.8,-11.9,1.2,0.3,4408,6,116.0,13,150.0,19,59.6,9.0,a,303.9416666666667,13.301666666666668
J2018+2319,20:18:43,23:19:54,63.7,-7.1,1.2,0.3,299,4,25.0,7,48.0,11,6.6,7.1,a,304.6791666666667,23.331666666666667
J2018+1637,20:18:46,16:37:53,58.1,-10.8,1.2,0.3,8644,5,83.0,10,108.0,14,122.5,9.6,a,304.69166666666666,16.63138888888889
J2030+2203,20:30:31,22:03:13,64.2,-10.0,1.2,0.3,4241,5,80.0,9,102.0,14,57.2,9.0,a,307.6291666666667,22.05361111111111
J2047+2048,20:47:35,20:48:39,65.6,-14.0,1.2,0.3,10615,5,107.0,11,126.0,16,151.9,9.8,a,311.8958333333333,20.810833333333335
J2009+3418,20:09:39,34:18:35,71.8,0.6,1.2*,0.7,4321,8,104.0,15,114.0,23,63.2,9.0,a,302.41249999999997,34.30972222222222
J2120+3736,21:20:36,37:36:17,83.3,-8.6,1.2*,1.1,7504,29,87.0,58,151.0,87,104.4,9.5,a,320.15,37.60472222222222
J1816+1003,18:16:28,10:03:12,38.0,12.3,1.3,0.3,10328,3,108.0,6,117.0,9,148.9,9.8,a,274.1166666666667,10.053333333333333
J1847+2547,18:47:11,25:47:33,55.8,12.3,1.3,0.3,3951,8,162.0,15,191.0,23,53.6,8.9,a,281.7958333333334,25.7925
J1901+2747,19:01:13,27:47:24,59.0,10.3,1.3,0.3,3811,5,81.0,9,104.0,14,52.7,8.9,a,285.3041666666667,27.79
J1925+0815,19:25:54,08:15:59,44.2,-3.8,1.3,0.4,3072,6,109.0,12,127.0,18,43.0,8.7,a,291.47499999999997,8.266388888888889
J1936+0949,19:36:18,09:49:27,46.8,-5.3,1.3,0.4,3138,4,179.0,7,183.0,11,45.5,8.8,a,294.075,9.824166666666667
J1936+1639,19:36:97,16:39:46,53.0,-2.3,1.3,0.3,4559,4,122.0,8,133.0,12,64.0,9.1,a,,16.662777777777777
